Sender,Sender Name,Receiver,Receiver Name,Seller GLN,Store GLN,Store Name,Region,City,Channel,Order Number,Invoice Number,Order Date,Delivery Date,Delivery Status,Line Number,Barcode,Product Code,Product Description,Product Category,Brand,Requested Qty,Unit of Measure,Unit Cost Price,Unit Selling Price,Discount (%),Net Extended Line Cost,Gross Sales (Before Discount),Profit Margin (%),Currency,Payment Method,Customer ID,Customer Type,Customer Segment,Customer Satisfaction (CSAT),Feedback Comment,Salesperson ID,Employee Attendance % (Month),Marketing Campaign ID,Campaign Channel,Supplier ID,Supplier Name,Supplier Rating,Lead Time (Days),Inventory Level (Before Sale),Stock Replenishment Date,Warehouse Utilization (%),Logistics Cost per Unit,Operational Cost Total,Forecasted Demand (Next Period),Actual Demand,AI Insight Summary
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,OUDTSHOORN KLEIN KAR,KwaZulu-Natal,Cape Town,Retail,45527231,1644887069,29/07/2025,03/08/2025,In Transit,9,5.45E+12,9662,Valpre Sparkle 01X12 1000 Pet,Water,Sprite,1,CS,127.29,154.47,10,139.02,154.47,17.6,ZAR,Cash,CUST-5854,Wholesale,High Value,3.8,Fast response,EMP-6223,90,MKT-2025-01-FT,In-store,SUP-9755,Coca Cola Beverages,4.5,3,426,25/08/2025,89,2.69,396.26,406,224,High-performing SKU; demand increasing in coastal regions
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,OUDTSHOORN KLEIN KAR,KwaZulu-Natal,Port Elizabeth,Online,18180933,1666130355,21/07/2025,22/07/2025,In Transit,6,5.45E+12,9220,Water Still Valpre 1.5L Bottle,Juice,Coca-Cola,19,CS,51.31,71.2,5,1285.16,1352.8,27.94,ZAR,Card,CUST-5648,Retail,High Value,3.5,Product quality good,EMP-6278,86,MKT-2025-02-BN,Social Media,SUP-3368,Monster Energy,4.5,2,101,12/08/2025,77,1.21,185.78,279,301,Product underperforming; consider promotion
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,OUDTSHOORN KLEIN KAR,Gauteng,Port Elizabeth,Retail,85934373,1131496798,18/03/2025,25/03/2025,Delivered,10,5.45E+12,1952,Valpre Still 04X06 500 Pet,Alcoholic Beverages,Monster,11,CS,117.18,173.86,5,1816.84,1912.46,32.6,ZAR,EFT,CUST-3498,Retail,Frequent Buyer,4.5,Average experience,EMP-5163,86,MKT-2025-07-SP,In-store,SUP-6902,Monster Energy,3.8,7,323,01/04/2025,60,4.53,316.78,379,282,Product underperforming; consider promotion
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,OUDTSHOORN KLEIN KAR,KwaZulu-Natal,Polokwane,Retail,40614224,1350314665,23/07/2025,25/07/2025,Pending,10,5.45E+12,5470,Fanta Orange 01X06 2000 Shr,Soft Drinks,Sprite,19,CS,120.2,154.61,5,2790.71,2937.59,22.26,ZAR,Card,CUST-2254,Wholesale,New,4.5,Product quality good,EMP-2688,87,MKT-2025-10-FT,In-store,SUP-8773,Coca Cola Beverages,4.9,3,154,08/08/2025,76,2.06,259.4,357,403,Customer satisfaction improving month-over-month
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,OUDTSHOORN KLEIN KAR,Western Cape,Johannesburg,Online,87044508,1940684643,02/03/2025,08/03/2025,Delivered,8,5.45E+12,7203,Sprite Ls 01X06 2000 Shr,Water,Coca-Cola,5,CS,76.88,115.05,5,546.49,575.25,33.18,ZAR,Card,CUST-6732,Wholesale,Frequent Buyer,4,Average experience,EMP-8355,95,MKT-2025-08-BN,TV,SUP-4284,Bonaqua Distributors,4.5,5,306,29/03/2025,87,1.35,87,388,385,High-performing SKU; demand increasing in coastal regions
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Gauteng,Richards Bay,Distributor,19354354,1153076653,30/06/2025,05/07/2025,Pending,2,5.45E+12,2703,Schw Ginger Ale 01X12 1000 Shr,Alcoholic Beverages,Fanta,1,CS,134.03,182.66,10,164.39,182.66,26.62,ZAR,EFT,CUST-8878,Retail,Frequent Buyer,4.9,Great service,EMP-8783,92,MKT-2025-04-CC,TV,SUP-1430,Monster Energy,4.6,5,246,06/07/2025,91,1.82,208.47,446,245,High-performing SKU; demand increasing in coastal regions
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,KwaZulu-Natal,Johannesburg,Distributor,46457768,1026821671,03/10/2025,05/10/2025,In Transit,4,5.45E+12,5299,Sprite Ls 01X12 1000 Shr,Energy Drinks,Bonaqua,14,CS,66.73,82.97,5,1103.5,1161.58,19.57,ZAR,Card,CUST-4696,Distributor,High Value,2.5,Average experience,EMP-8054,94,MKT-2025-09-BN,In-store,SUP-6186,Monster Energy,4,6,399,27/10/2025,60,1.55,469.46,229,195,Consistent performance across channels
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Johannesburg,Retail,65302805,1331737630,05/02/2025,09/02/2025,In Transit,3,5.45E+12,8811,Coke 01X12 1500 Shr,Energy Drinks,Bonaqua,15,CS,86.09,117.93,10,1592.06,1768.95,27,ZAR,Cash,CUST-8897,Wholesale,Occasional,2.9,Fast response,EMP-7980,93,MKT-2025-09-FT,Social Media,SUP-3342,Monster Energy,4.6,7,171,11/02/2025,72,1.42,462.17,239,286,Consistent performance across channels
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Gauteng,Port Elizabeth,Online,59232348,1749771084,05/04/2025,12/04/2025,In Transit,3,5.45E+12,2888,Sprite Ls 12X1500Ml Nrp,Energy Drinks,Monster,1,CS,53.33,66.88,0,66.88,66.88,20.26,ZAR,EFT,CUST-4629,Retail,New,3.5,Great service,EMP-4963,99,MKT-2025-04-SP,Social Media,SUP-5528,Bonaqua Distributors,4,5,402,21/04/2025,61,3.45,343.32,402,257,Consistent performance across channels
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Eastern Cape,Johannesburg,Online,74235227,1192898172,27/07/2025,28/07/2025,In Transit,6,5.45E+12,8932,Schw Tonic 01X24 200 Can,Energy Drinks,Coca-Cola,2,CS,62.66,75.19,5,142.86,150.38,16.66,ZAR,EFT,CUST-9973,Retail,Frequent Buyer,3,Product quality good,EMP-2378,92,MKT-2025-11-CC,Social Media,SUP-2519,Monster Energy,4.5,7,135,01/08/2025,63,3.94,313.79,331,393,Consistent performance across channels
